SKU,Nombre,precioVenta_sin_IVA,lista_regular_sin_IVA,lista_tecnico_sin_IVA,lista_cananea_sin_IVA,lista_mayoreo_menos_sin_IVA,lista_mayoreo_mas_sin_IVA,preciosPorListaCliente_json
2251,BASE CANASTA Y ENGRANE WH GEN. W10820039,387.93,387.93,323.28,255.09,301.72,0,"{""regular"":387.93,""tecnico"":323.28,""cananea"":255.09,""mayoreo_menos"":301.72,""mayoreo_mas"":0}"
1807,BASE MOVIBLE SENCILLA PARA LAVADORA,250,250,172.41,135,155.17,155.17,"{""regular"":250,""tecnico"":172.41,""cananea"":135,""mayoreo_menos"":155.17,""mayoreo_mas"":155.17}"
1975,BISAGRA PIN LAV. MAYTAG,172.41,172.41,155.17,92.78,146.55,133.62,"{""regular"":172.41,""tecnico"":155.17,""cananea"":92.78,""mayoreo_menos"":146.55,""mayoreo_mas"":133.62}"
1426,BISAGRA POSTERIOR MAYTAG ORG 35-2044,810.34,810.34,168.1,0,163.79,0,"{""regular"":810.34,""tecnico"":168.1,""cananea"":0,""mayoreo_menos"":163.79,""mayoreo_mas"":0}"
930,BLOCA PUERTA CENTRO DE LAVADO ORG. MB 2253D1098P001,336.21,336.21,310.34,249.53,288.79,249.53,"{""regular"":336.21,""tecnico"":310.34,""cananea"":249.53,""mayoreo_menos"":288.79,""mayoreo_mas"":249.53}"
2169,BLOCAPUERTA LAV. LG FRONTAL EBF61674802,732.76,732.76,637.93,388.51,603.45,556.03,"{""regular"":732.76,""tecnico"":637.93,""cananea"":388.51,""mayoreo_menos"":603.45,""mayoreo_mas"":556.03}"
2195,BLOCAPUERTA LAV. MABE KRAKEN 253C1214P001 ORG.,620.69,620.69,551.72,361.41,517.24,474.14,"{""regular"":620.69,""tecnico"":551.72,""cananea"":361.41,""mayoreo_menos"":517.24,""mayoreo_mas"":474.14}"
59,BLOCAPUERTA LAV. MBAM MDRN.,155.17,155.17,112.07,251.59,0,0,"{""regular"":155.17,""tecnico"":112.07,""cananea"":251.59,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2217,BLOCAPUERTA LAV. SAMSUNG GEN DC64-02032A,500,500,439.66,267.97,413.79,387.93,"{""regular"":500,""tecnico"":439.66,""cananea"":267.97,""mayoreo_menos"":413.79,""mayoreo_mas"":387.93}"
7122105,BLOCAPUERTA LAVADORA MBK OR,646.55,646.55,431.03,336.21,379.31,353.45,"{""regular"":646.55,""tecnico"":431.03,""cananea"":336.21,""mayoreo_menos"":379.31,""mayoreo_mas"":353.45}"
26,BLOCAPUERTA MBA TIPO L,357.76,357.76,314.66,190.16,293.1,284.48,"{""regular"":357.76,""tecnico"":314.66,""cananea"":190.16,""mayoreo_menos"":293.1,""mayoreo_mas"":284.48}"
1793,BLOCAPUERTA NEGRO 4 TERM CL WW03F00016,646.55,646.55,370.69,250,344.83,318.97,"{""regular"":646.55,""tecnico"":370.69,""cananea"":250,""mayoreo_menos"":344.83,""mayoreo_mas"":318.97}"
1677,BLOCAPUERTA SAMSUNG GEN EBF61315802,465.52,465.52,413.79,224.71,383.62,353.45,"{""regular"":465.52,""tecnico"":413.79,""cananea"":224.71,""mayoreo_menos"":383.62,""mayoreo_mas"":353.45}"
2155,BLOCAPUERTA WH CABRIO GEN W11307244,0.86,0.86,0.86,711.13,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":711.13,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
963,BLOCAPUERTA WH DIG. W10744659/10238287 GEN,732.76,732.76,603.45,430.18,577.59,0,"{""regular"":732.76,""tecnico"":603.45,""cananea"":430.18,""mayoreo_menos"":577.59,""mayoreo_mas"":0}"
962,BLOCAPUERTA WH DIG. W10744659/10238287 ORG,853.45,853.45,818.97,0,775.86,0.86,"{""regular"":853.45,""tecnico"":818.97,""cananea"":0,""mayoreo_menos"":775.86,""mayoreo_mas"":0.86}"
1187,BLOCAPUERTA WH. ORG S/MICROSWITCH GRIS W10707441,1.72,1.72,0.86,0.86,0.86,0.86,"{""regular"":1.72,""tecnico"":0.86,""cananea"":0.86,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1459,BLOCK TINA C/SUJETADOR WH DIGITAL,293.1,293.1,258.62,681.03,241.38,224.14,"{""regular"":293.1,""tecnico"":258.62,""cananea"":681.03,""mayoreo_menos"":241.38,""mayoreo_mas"":224.14}"
1461,BLOCK TINA CON TUERCA,172.41,172.41,146.55,77.73,137.93,129.31,"{""regular"":172.41,""tecnico"":146.55,""cananea"":77.73,""mayoreo_menos"":137.93,""mayoreo_mas"":129.31}"
1393,BLOCK TINA WH GEN.,155.17,155.17,112.07,63.19,94.83,86.21,"{""regular"":155.17,""tecnico"":112.07,""cananea"":63.19,""mayoreo_menos"":94.83,""mayoreo_mas"":86.21}"
389140,BLOCK TINA WH ORG.,215.52,215.52,168.1,57.68,155.17,146.55,"{""regular"":215.52,""tecnico"":168.1,""cananea"":57.68,""mayoreo_menos"":155.17,""mayoreo_mas"":146.55}"
917,BLOCK WW GEN AGIT.,129.31,129.31,112.07,66.81,103.45,94.83,"{""regular"":129.31,""tecnico"":112.07,""cananea"":66.81,""mayoreo_menos"":103.45,""mayoreo_mas"":94.83}"
2081,BOBINA 12V REPUESTO ELECTROVALVULA UNIV.,94.83,94.83,64.66,25,51.72,38.79,"{""regular"":94.83,""tecnico"":64.66,""cananea"":25,""mayoreo_menos"":51.72,""mayoreo_mas"":38.79}"
1092,BOBINA REPUESTO ELECTROVALVULA UNIV.,163.79,163.79,129.31,43.88,103.45,86.21,"{""regular"":163.79,""tecnico"":129.31,""cananea"":43.88,""mayoreo_menos"":103.45,""mayoreo_mas"":86.21}"
972,BOMBA BOCA GRANDE GEN WH,336.21,336.21,271.55,178.62,0,0,"{""regular"":336.21,""tecnico"":271.55,""cananea"":178.62,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1099,BOMBA COMPLETA MODERNA SAMSUNG ORG.,310.34,310.34,284.48,185.33,267.24,193.1,"{""regular"":310.34,""tecnico"":284.48,""cananea"":185.33,""mayoreo_menos"":267.24,""mayoreo_mas"":193.1}"
350365,BOMBA LAV. WH. 2 SALIDAS ANTIGUA 350365,818.97,818.97,0.86,664.33,0.86,0.86,"{""regular"":818.97,""tecnico"":0.86,""cananea"":664.33,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1983,BOMBA MY DOS BANDAS GEN,387.93,387.93,310.34,154.35,284.48,232.76,"{""regular"":387.93,""tecnico"":310.34,""cananea"":154.35,""mayoreo_menos"":284.48,""mayoreo_mas"":232.76}"
60,BOMBA P/LAV. FRG.,344.83,344.83,301.72,183.76,293.1,250,"{""regular"":344.83,""tecnico"":301.72,""cananea"":183.76,""mayoreo_menos"":293.1,""mayoreo_mas"":250}"
632,BOMBA PLANA MY,474.14,474.14,387.93,189,362.07,327.59,"{""regular"":474.14,""tecnico"":387.93,""cananea"":189,""mayoreo_menos"":362.07,""mayoreo_mas"":327.59}"
1164,BOMBA UNIFICADA MABE 35W CONECTOR ENFRENTE,362.07,362.07,318.97,128.11,301.72,275.86,"{""regular"":362.07,""tecnico"":318.97,""cananea"":128.11,""mayoreo_menos"":301.72,""mayoreo_mas"":275.86}"
817,BOTON INICIO PAUSA MBK 02,163.79,163.79,155.17,94.83,129.31,112.07,"{""regular"":163.79,""tecnico"":155.17,""cananea"":94.83,""mayoreo_menos"":129.31,""mayoreo_mas"":112.07}"
814,BOTON PAUSA/INICIO MBK 01,51.72,51.72,38.79,0,0,0,"{""regular"":51.72,""tecnico"":38.79,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
8546462,BUJE CON CEJA WH ORG,103.45,103.45,77.59,36.91,60.34,56.03,"{""regular"":103.45,""tecnico"":77.59,""cananea"":36.91,""mayoreo_menos"":60.34,""mayoreo_mas"":56.03}"
2141,BUJE CON CEJA WH. GEN.,47.41,47.41,43.1,26.26,38.79,28.22,"{""regular"":47.41,""tecnico"":43.1,""cananea"":26.26,""mayoreo_menos"":38.79,""mayoreo_mas"":28.22}"
29,BUJE CON HOMBRO GRANDE MBOL,25.86,25.86,0,12.11,0,0,"{""regular"":25.86,""tecnico"":0,""cananea"":12.11,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2011,BUJE DE ESTATOR LG 4413ER1001C,362.07,362.07,293.1,94.72,250,215.52,"{""regular"":362.07,""tecnico"":293.1,""cananea"":94.72,""mayoreo_menos"":250,""mayoreo_mas"":215.52}"
150,BUJE INOX. TRANSMISION WH,56.03,56.03,47.41,0,43.1,27.59,"{""regular"":56.03,""tecnico"":47.41,""cananea"":0,""mayoreo_menos"":43.1,""mayoreo_mas"":27.59}"
892,BUJE LARGO P/POSTE WH ACOP.,38.79,38.79,25.86,0,25.86,0,"{""regular"":38.79,""tecnico"":25.86,""cananea"":0,""mayoreo_menos"":25.86,""mayoreo_mas"":0}"
27,BUJE POSTE SUP. MBOL,25.86,25.86,21.55,6.83,21.55,17.24,"{""regular"":25.86,""tecnico"":21.55,""cananea"":6.83,""mayoreo_menos"":21.55,""mayoreo_mas"":17.24}"
210,BUJE TINA MBFRD,120.69,120.69,112.07,70.91,103.45,82.26,"{""regular"":120.69,""tecnico"":112.07,""cananea"":70.91,""mayoreo_menos"":103.45,""mayoreo_mas"":82.26}"
1804,CAJA TRANS KRAKEN GRANDE,137.93,137.93,112.07,77,103.45,94.83,"{""regular"":137.93,""tecnico"":112.07,""cananea"":77,""mayoreo_menos"":103.45,""mayoreo_mas"":94.83}"
505,CAJA TRANS. MBAM,68.97,68.97,60.34,40.12,56.03,51.72,"{""regular"":68.97,""tecnico"":60.34,""cananea"":40.12,""mayoreo_menos"":56.03,""mayoreo_mas"":51.72}"
952,CAJA TRANSMISION SOLA WH FLECHA LARGA,107.76,107.76,86.21,80,0,0,"{""regular"":107.76,""tecnico"":86.21,""cananea"":80,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1468,CAMBIADOR PARA TRANSMSION LAV MABE,103.45,103.45,94.83,61.53,86.21,77.59,"{""regular"":103.45,""tecnico"":94.83,""cananea"":61.53,""mayoreo_menos"":86.21,""mayoreo_mas"":77.59}"
1884,CANDADO LEVA WH ACOPLADA GEN.,38.79,38.79,30.17,18.17,25.86,25.86,"{""regular"":38.79,""tecnico"":30.17,""cananea"":18.17,""mayoreo_menos"":25.86,""mayoreo_mas"":25.86}"
2145,CAPACITOR LAV MABE ORG. 45UF,206.9,206.9,159.48,73.41,137.93,120.69,"{""regular"":206.9,""tecnico"":159.48,""cananea"":73.41,""mayoreo_menos"":137.93,""mayoreo_mas"":120.69}"
1395,CAPACITOR LAV MABE ORG. 50 UF 228C1259003,250,250,215.52,54.49,198.28,181.03,"{""regular"":250,""tecnico"":215.52,""cananea"":54.49,""mayoreo_menos"":198.28,""mayoreo_mas"":181.03}"
32,CAPACITOR P/MOTOR WH LAVADORA 45UF,456.9,456.9,370.69,137.28,336.21,301.72,"{""regular"":456.9,""tecnico"":370.69,""cananea"":137.28,""mayoreo_menos"":336.21,""mayoreo_mas"":301.72}"
1133,CAPACITOR WH ORG. 50 UF W10843769,448.28,448.28,396.55,77.59,344.83,344.83,"{""regular"":448.28,""tecnico"":396.55,""cananea"":77.59,""mayoreo_menos"":344.83,""mayoreo_mas"":344.83}"
2200,CLIP TABLERO LAV. WH.,112.07,112.07,103.45,70.13,99.14,99.14,"{""regular"":112.07,""tecnico"":103.45,""cananea"":70.13,""mayoreo_menos"":99.14,""mayoreo_mas"":99.14}"
226,CLUTCH COMPLETO WHG,465.52,465.52,422.41,93,155.17,126.67,"{""regular"":465.52,""tecnico"":422.41,""cananea"":93,""mayoreo_menos"":155.17,""mayoreo_mas"":126.67}"
2134,CLUTCH ENS. WH KIT W910010062 GEN.,301.72,301.72,275.86,90.52,258.62,258.62,"{""regular"":301.72,""tecnico"":275.86,""cananea"":90.52,""mayoreo_menos"":258.62,""mayoreo_mas"":258.62}"
2095,CLUTCH LAV WH GEN 6 COJINETES,198.28,198.28,172.41,70.35,155.17,137.93,"{""regular"":198.28,""tecnico"":172.41,""cananea"":70.35,""mayoreo_menos"":155.17,""mayoreo_mas"":137.93}"
1322,CLUTCH LINING GEN. WH,168.1,168.1,146.55,72.13,137.93,125,"{""regular"":168.1,""tecnico"":146.55,""cananea"":72.13,""mayoreo_menos"":137.93,""mayoreo_mas"":125}"
1441,COJINETE DESLIZABLE BLANCO CON OJO MB,17.24,17.24,17.24,4.99,0,0,"{""regular"":17.24,""tecnico"":17.24,""cananea"":4.99,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1569,COPLE AGITADOR MABE AMAZ GEN,77.59,77.59,68.97,37.58,60.34,56.03,"{""regular"":77.59,""tecnico"":68.97,""cananea"":37.58,""mayoreo_menos"":60.34,""mayoreo_mas"":56.03}"
232,COPLE AGITADOR MBES AM ORG.,146.55,146.55,120.69,61.75,112.07,0,"{""regular"":146.55,""tecnico"":120.69,""cananea"":61.75,""mayoreo_menos"":112.07,""mayoreo_mas"":0}"
1568,COPLE AGITADOR OLIMPIA ORG.,146.55,146.55,129.31,73.28,120.69,107.76,"{""regular"":146.55,""tecnico"":129.31,""cananea"":73.28,""mayoreo_menos"":120.69,""mayoreo_mas"":107.76}"
102,COPLE MOTOR WH REF. GEN,60.34,60.34,43.1,23.58,38.79,34.48,"{""regular"":60.34,""tecnico"":43.1,""cananea"":23.58,""mayoreo_menos"":38.79,""mayoreo_mas"":34.48}"
101,COPLE MOTOR WH SIN REFUERZO,30.17,30.17,30.17,15.77,30.17,0,"{""regular"":30.17,""tecnico"":30.17,""cananea"":15.77,""mayoreo_menos"":30.17,""mayoreo_mas"":0}"
1445,CRUCETA LAV. LG FRONTAL ORG. 4434ER0002D,2.59,2.59,1.72,0.86,1.72,1.72,"{""regular"":2.59,""tecnico"":1.72,""cananea"":0.86,""mayoreo_menos"":1.72,""mayoreo_mas"":1.72}"
2196,CRUCETA LAV. LG FRONTAL ORG. 4434ER0003C,1.72,1.72,0.86,0.86,0.86,0.86,"{""regular"":1.72,""tecnico"":0.86,""cananea"":0.86,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1454,CUBIERTA TINA Y SUSPENSIONES LAV MABE KIT ORIGINAL WW02L00002,793.1,793.1,732.76,507.84,672.41,0.86,"{""regular"":793.1,""tecnico"":732.76,""cananea"":507.84,""mayoreo_menos"":672.41,""mayoreo_mas"":0.86}"
3957849,DISCO INDICADOR BLANCO WHIRLPOOL ORG.,670,670,550,422.61,500,450,"{""regular"":670,""tecnico"":550,""cananea"":422.61,""mayoreo_menos"":500,""mayoreo_mas"":450}"
220,DISCO INDICADOR MB BLANCO,34.48,34.48,17.24,4.41,0,0,"{""regular"":34.48,""tecnico"":17.24,""cananea"":4.41,""mayoreo_menos"":0,""mayoreo_mas"":0}"
8528278,DISPENSADOR AGITADOR WH. 8528278,431.03,431.03,362.07,163.79,362.07,362.07,"{""regular"":431.03,""tecnico"":362.07,""cananea"":163.79,""mayoreo_menos"":362.07,""mayoreo_mas"":362.07}"
1277,DUCTO SECADORA 4 METRO,34.48,34.48,34.48,14.18,34.48,23.99,"{""regular"":34.48,""tecnico"":34.48,""cananea"":14.18,""mayoreo_menos"":34.48,""mayoreo_mas"":23.99}"
2167,ELECTROVALVULA 2 ENT. 5 SAL. LG GEN. AJU75152603 12V,672.41,672.41,594.83,359.98,556.03,517.24,"{""regular"":672.41,""tecnico"":594.83,""cananea"":359.98,""mayoreo_menos"":556.03,""mayoreo_mas"":517.24}"
2132,ELECTROVALVULA 2 ENTR. 2 BOBINAS W11161683,560.34,560.34,474.14,689.66,448.28,370.69,"{""regular"":560.34,""tecnico"":474.14,""cananea"":689.66,""mayoreo_menos"":448.28,""mayoreo_mas"":370.69}"
1836,ELECTROVALVULA 5 BOBINAS LG 5221EA1009H,0.86,0.86,0.86,0.86,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":0.86,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1056,ELECTROVALVULA 90° MABE KR ORG. SENCILLA,163.79,163.79,142.24,183.3,129.31,125,"{""regular"":163.79,""tecnico"":142.24,""cananea"":183.3,""mayoreo_menos"":129.31,""mayoreo_mas"":125}"
1256,ELECTROVALVULA AZUL WH DIG 1 ENTR. 2SAL. W11101591,237.07,237.07,237.07,138.61,224.14,224.14,"{""regular"":237.07,""tecnico"":237.07,""cananea"":138.61,""mayoreo_menos"":224.14,""mayoreo_mas"":224.14}"
225,ELECTROVALVULA AZUL WH PP,540.54,540.54,189.66,83.28,168.1,95,"{""regular"":540.54,""tecnico"":189.66,""cananea"":83.28,""mayoreo_menos"":168.1,""mayoreo_mas"":95}"
1100,ELECTROVALVULA DAEWOO SM GEN. 3BOB. 3 SAL.,275.86,275.86,241.38,145.95,228.45,211.21,"{""regular"":275.86,""tecnico"":241.38,""cananea"":145.95,""mayoreo_menos"":228.45,""mayoreo_mas"":211.21}"
1450,ELECTROVALVULA DOBLE KRAKEN EASY 277B2502P00103,250,250,215.52,128.32,202.59,189.66,"{""regular"":250,""tecnico"":215.52,""cananea"":128.32,""mayoreo_menos"":202.59,""mayoreo_mas"":189.66}"
1601,ELECTROVALVULA DOBLE MABE KR GEN. WW01F01773,379.31,379.31,336.21,201.6,310.34,288.79,"{""regular"":379.31,""tecnico"":336.21,""cananea"":201.6,""mayoreo_menos"":310.34,""mayoreo_mas"":288.79}"
1058,ELECTROVALVULA DOBLE MABE KR ORG. 290D1316G009,810.34,810.34,715.52,334.96,668.1,620.69,"{""regular"":810.34,""tecnico"":715.52,""cananea"":334.96,""mayoreo_menos"":668.1,""mayoreo_mas"":620.69}"
2208,ELECTROVALVULA LAV DAEWOO 2 ENT.3 SAL. 36154L3G60,413.79,413.79,366.38,220.51,340.52,314.66,"{""regular"":413.79,""tecnico"":366.38,""cananea"":220.51,""mayoreo_menos"":340.52,""mayoreo_mas"":314.66}"
40802,ELECTROVALVULA LAV. 2 ENTRADAS 4 BOBINAS DAEWOO,431.03,431.03,0.86,678.88,0.86,0.86,"{""regular"":431.03,""tecnico"":0.86,""cananea"":678.88,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1549,ELECTROVALVULA LAV. SAMSUNG 3B 2 ENTR. 3 SAL,301.72,301.72,241.38,123.93,224.14,206.9,"{""regular"":301.72,""tecnico"":241.38,""cananea"":123.93,""mayoreo_menos"":224.14,""mayoreo_mas"":206.9}"
2267,ELECTROVALVULA LAV. SAMSUNG 5 BOBINAS 110V,715.52,715.52,629.31,381.16,590.52,547.41,"{""regular"":715.52,""tecnico"":629.31,""cananea"":381.16,""mayoreo_menos"":590.52,""mayoreo_mas"":547.41}"
1840,ELECTROVALVULA LG CUADRUPLE,431.03,431.03,362.07,204.75,336.21,310.34,"{""regular"":431.03,""tecnico"":362.07,""cananea"":204.75,""mayoreo_menos"":336.21,""mayoreo_mas"":310.34}"
965,ELECTROVALVULA LG TRIPLE,431.03,431.03,362.07,140.7,336.21,310.34,"{""regular"":431.03,""tecnico"":362.07,""cananea"":140.7,""mayoreo_menos"":336.21,""mayoreo_mas"":310.34}"
1451,"ELECTROVALVULA MABE 1 ENT, 1 SAL. 180",267.24,267.24,245.69,77.73,129.31,129.31,"{""regular"":267.24,""tecnico"":245.69,""cananea"":77.73,""mayoreo_menos"":129.31,""mayoreo_mas"":129.31}"
1320,ELECTROVALVULA MABE 1 ENTRADA 3 SAL. 189D3116P017,301.72,301.72,258.62,189,241.38,224.14,"{""regular"":301.72,""tecnico"":258.62,""cananea"":189,""mayoreo_menos"":241.38,""mayoreo_mas"":224.14}"
19,ELECTROVALVULA MB OLIMPIA GEN 175D2937P001.,181.03,181.03,159.48,110.84,150.86,137.93,"{""regular"":181.03,""tecnico"":159.48,""cananea"":110.84,""mayoreo_menos"":150.86,""mayoreo_mas"":137.93}"
2033,ELECTROVALVULA REF. SAMSUNG ORG. AJU75632504,387.93,387.93,327.59,194.28,301.72,280.17,"{""regular"":387.93,""tecnico"":327.59,""cananea"":194.28,""mayoreo_menos"":301.72,""mayoreo_mas"":280.17}"
1773,ELECTROVALVULA ROCIADOR AZUL ROJA RELOJ GEN,422.41,422.41,375,208.97,349.14,323.28,"{""regular"":422.41,""tecnico"":375,""cananea"":208.97,""mayoreo_menos"":349.14,""mayoreo_mas"":323.28}"
1774,ELECTROVALVULA ROCIADOR RECTO W10683653 WH GEN,646.55,646.55,603.45,241.5,559.21,284.84,"{""regular"":646.55,""tecnico"":603.45,""cananea"":241.5,""mayoreo_menos"":559.21,""mayoreo_mas"":284.84}"
1758,ELECTROVALVULA SAMSUNG 2 ENT. 3 SAL. DC62-00266F,689.66,689.66,586.21,336.01,534.48,504.31,"{""regular"":689.66,""tecnico"":586.21,""cananea"":336.01,""mayoreo_menos"":534.48,""mayoreo_mas"":504.31}"
1323,ELECTROVALVULA SENCILLA ROJA COPACABANA WH ORG W10718167,155.17,155.17,120.69,112.35,112.07,103.45,"{""regular"":155.17,""tecnico"":120.69,""cananea"":112.35,""mayoreo_menos"":112.07,""mayoreo_mas"":103.45}"
10055,ELECTROVALVULA UNIVERSAL WH,163.79,163.79,133.62,98.65,120.69,0,"{""regular"":163.79,""tecnico"":133.62,""cananea"":98.65,""mayoreo_menos"":120.69,""mayoreo_mas"":0}"
1321,ELECTROVALVULA VERDE MABE ORG 189D5366P003,474.14,474.14,344.83,237.25,314.66,293.1,"{""regular"":474.14,""tecnico"":344.83,""cananea"":237.25,""mayoreo_menos"":314.66,""mayoreo_mas"":293.1}"
108,EMBRAGUE CAMBIADOR TRANS. MB 233D2193P001,68.97,68.97,47.41,43.89,0,0,"{""regular"":68.97,""tecnico"":47.41,""cananea"":43.89,""mayoreo_menos"":0,""mayoreo_mas"":0}"
560,"EMBRAGUE CLUTCH PLASTICO SIRVE WH,MY LAV DIGITAL",68.97,68.97,0,40.12,0,0,"{""regular"":68.97,""tecnico"":0,""cananea"":40.12,""mayoreo_menos"":0,""mayoreo_mas"":0}"
2161,EMBRAGUE NEUTRAL WH. GEN.,34.48,34.48,30.17,17.75,30.17,25.86,"{""regular"":34.48,""tecnico"":30.17,""cananea"":17.75,""mayoreo_menos"":30.17,""mayoreo_mas"":25.86}"
63341,EMBRAGUE NEUTRAL WHO,81.9,81.9,68.97,52.15,0,0,"{""regular"":81.9,""tecnico"":68.97,""cananea"":52.15,""mayoreo_menos"":0,""mayoreo_mas"":0}"
21,ENGRANE COPLE FIJO MABE METAL,77.59,77.59,56.03,33.6,51.72,0,"{""regular"":77.59,""tecnico"":56.03,""cananea"":33.6,""mayoreo_menos"":51.72,""mayoreo_mas"":0}"
1922,ENGRANE COPLE MABE ORG. 22C2415P001,86.21,86.21,86.21,72.95,86.21,86.21,"{""regular"":86.21,""tecnico"":86.21,""cananea"":72.95,""mayoreo_menos"":86.21,""mayoreo_mas"":86.21}"
1974,ENGRANE DE PLASTICO CON PIÑON WH ACOP. 285362,715.52,715.52,715.52,589.28,715.52,0.86,"{""regular"":715.52,""tecnico"":715.52,""cananea"":589.28,""mayoreo_menos"":715.52,""mayoreo_mas"":0.86}"
803,ENGRANE SIRVE COPLE MABE,43.1,43.1,34.48,9.74,0,0,"{""regular"":43.1,""tecnico"":34.48,""cananea"":9.74,""mayoreo_menos"":0,""mayoreo_mas"":0}"
873,ENGRANE TIPO HELIX TRANS. MAYTAG,43.1,43.1,43.1,28.35,0,0,"{""regular"":43.1,""tecnico"":43.1,""cananea"":28.35,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1542,ENGRANE TRANSMISION LAV MAYTAG,81.9,81.9,56.03,32.34,56.03,0,"{""regular"":81.9,""tecnico"":56.03,""cananea"":32.34,""mayoreo_menos"":56.03,""mayoreo_mas"":0}"
285620,ESPACIADOR AGITADOR WH O. PLANO,81.9,81.9,68.97,49.78,68.97,64.66,"{""regular"":81.9,""tecnico"":68.97,""cananea"":49.78,""mayoreo_menos"":68.97,""mayoreo_mas"":64.66}"
1841,FILTRO ATRAPAPELUSA LARGOLAV. SAMSUNG,103.45,103.45,94.83,45.04,86.21,77.59,"{""regular"":103.45,""tecnico"":94.83,""cananea"":45.04,""mayoreo_menos"":86.21,""mayoreo_mas"":77.59}"
309882,FLECHA AGITADOR NEGRA OLIMPIA,112.07,112.07,94.83,1.72,86.21,77.59,"{""regular"":112.07,""tecnico"":94.83,""cananea"":1.72,""mayoreo_menos"":86.21,""mayoreo_mas"":77.59}"
821,FLECHA LARGA WH DIG COMPLETA,534.48,534.48,465.52,284.57,422.41,387.93,"{""regular"":534.48,""tecnico"":465.52,""cananea"":284.57,""mayoreo_menos"":422.41,""mayoreo_mas"":387.93}"
174,FLECHA TRANS. MBAM,103.45,103.45,77.59,52.38,0,0,"{""regular"":103.45,""tecnico"":77.59,""cananea"":52.38,""mayoreo_menos"":0,""mayoreo_mas"":0}"
68,FLECHA TRANS. WH ACOP. GEN.,517.24,517.24,474.14,260.69,0,0,"{""regular"":517.24,""tecnico"":474.14,""cananea"":260.69,""mayoreo_menos"":0,""mayoreo_mas"":0}"
389231,FLECHA TRANSMISION WH ACOPLADA ORG.,706.9,706.9,663.79,586.09,637.93,594.83,"{""regular"":706.9,""tecnico"":663.79,""cananea"":586.09,""mayoreo_menos"":637.93,""mayoreo_mas"":594.83}"
508,FLOTADOR AGIT. MABE AMZ,327.59,327.59,267.24,0.86,250,232.76,"{""regular"":327.59,""tecnico"":267.24,""cananea"":0.86,""mayoreo_menos"":250,""mayoreo_mas"":232.76}"
1455,FONDO CANASTA CENTRO DE LAVADO MABE 189D3971P001,810.34,810.34,715.52,501.19,668.1,620.69,"{""regular"":810.34,""tecnico"":715.52,""cananea"":501.19,""mayoreo_menos"":668.1,""mayoreo_mas"":620.69}"
1432,FONDO CANASTA LAV MBAMZ. FLOT.,750,750,413.79,737.66,0,0,"{""regular"":750,""tecnico"":413.79,""cananea"":737.66,""mayoreo_menos"":0,""mayoreo_mas"":0}"
1678,FUELLE LAV LG FRONTAL 18 MDS56540502,0.86,0.86,0.86,0,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":0,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1712,FUELLE LAV WH ORG W10237499,3.45,3.45,3.45,0,0,0,"{""regular"":3.45,""tecnico"":3.45,""cananea"":0,""mayoreo_menos"":0,""mayoreo_mas"":0}"
8182119,FUELLE LAVADORA WH 8182119,0.86,0.86,0.86,685.84,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":685.84,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1504,FUNDA CENTRO DE LAV. REFORZADA,0.86,0.86,0.86,754.71,0.86,0.86,"{""regular"":0.86,""tecnico"":0.86,""cananea"":754.71,""mayoreo_menos"":0.86,""mayoreo_mas"":0.86}"
1428,FUNDA LAVADORA DE VINIL CERRADA,172.41,172.41,137.93,67.84,116.38,107.76,"{""regular"":172.41,""tecnico"":137.93,""cananea"":67.84,""mayoreo_menos"":116.38,""mayoreo_mas"":107.76}"
2214,FUNDA LAVADORA REFORZADA AFELPADA,551.72,551.72,120.69,94.83,103.45,99.14,"{""regular"":551.72,""tecnico"":120.69,""cananea"":94.83,""mayoreo_menos"":103.45,""mayoreo_mas"":99.14}"
2237,GANCHO PUERTA LAV. LG. MFG63099101,431.03,431.03,387.93,274.69,387.93,344.83,"{""regular"":431.03,""tecnico"":387.93,""cananea"":274.69,""mayoreo_menos"":387.93,""mayoreo_mas"":344.83}"
1873,IMPULSOR LAV LG 38CM GEN,327.59,327.59,288.79,172.5,267.24,250,"{""regular"":327.59,""tecnico"":288.79,""cananea"":172.5,""mayoreo_menos"":267.24,""mayoreo_mas"":250}"
