SKU,Nombre,Existencia,Categoria,Archivo_origen,precioVenta_sin_IVA,lista_regular_sin_IVA,lista_tecnico_sin_IVA,lista_cananea_sin_IVA,lista_mayoreo_menos_sin_IVA,lista_mayoreo_mas_sin_IVA,preciosPorListaCliente_json
1429,SARRICIDA 1 LT,-97.5,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1490,"PINZAS DE PRESION HASTA 5/16""",-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1499,SOLDADURA DE ESTAÑO 1 M ELECTRONICA,-111.5,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1502,GENERADOR DE FRECUENCIA PWM,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
151,CINTA GRIS 40MM,6,ACCESORIOS,ACCESORIOS.xlsx,94.83,94.83,77.59,37.72,68.97,60.34,"{""regular"":94.83,""tecnico"":77.59,""cananea"":37.72,""mayoreo_menos"":68.97,""mayoreo_mas"":60.34}"
1538,TERMINAL ENCHUFE MACHO AZUL,-232,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1606,"BROCA DE ALTA VELOCIDAD 1/2""",0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1607,"BROCA DE ALTA VELODAD 1/4""",2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1608,"BROCA DE ALTA VELOCIDAD 1/8""",10,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1609,"BROCA DE ALTA VELOCIDAD 11/64""",4,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
161,SWITCH 2 PASOS 20 A 110V,-6,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1610,"BROCA DE ALTA VELOCIDAD 3/16""",0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1611,"BROCA DE ALTA VELOCIDAD 3/32""",-5,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1612,BROCA DE ALTA VELOCIDAD 3/8,10,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1613,"BROCA DE ALTA VELOCIDAD 5/16""",-3,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1614,"BROCA DE ALTA VELOCIDAD 5/64""",0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1615,BROCA DE ALTA VELOCIDAD 7/16,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1616,"BROCA DE ALTA VELOCIDAD 7/32""",-2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1617,"BROCA DE ALTA VELOCIDAD 7/64""",19,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1618,"BROCA DE ALTA VELOCIDAD 9/64""",12,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1619,"BROCA DE ALTA VELOCIDAD 5/32""",-8,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
162,SWITCH COLA DE RATA 1 PASO 6A 110V,-12,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
163,SWITCH 1PASO 15A. 250 V,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1638,TORNILLO PARA TAQUETE 1/4 PZ,-29,ACCESORIOS,ACCESORIOS.xlsx,1.72,1.72,0.86,0.0,0.0,0.0,"{""regular"":1.72,""tecnico"":0.86,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1653,CINTA ESPUMA COLDTECK METRO,-3,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1658,TERMOFIT 328PZ KIT 8 TAM. TERMOCONTRACTIL,0,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1659,10 CABLES CABLS CAIMAN 30CM JUMPER MACHO,-4,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1744,ABRAZADERA TUBO 1-1/4,-1100,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
17501206685249,LIJA LONA 80,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
17501206685386,LIJA AGUA 120 HOJA,-1,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1838,MULTIMETRO DIGITAL DE GANCHO CON MEDIDOR DE CAPACITANCIA,-1,ACCESORIOS,ACCESORIOS.xlsx,801.72,801.72,741.38,560.62,689.66,0.86,"{""regular"":801.72,""tecnico"":741.38,""cananea"":560.62,""mayoreo_menos"":689.66,""mayoreo_mas"":0.86}"
1879,OSMOSIS INVERSA 100 GAL 6 ETAPASUV BOMBA TANQUE,4,ACCESORIOS,ACCESORIOS.xlsx,4.31,4.31,3.45,2.59,3.45,3.45,"{""regular"":4.31,""tecnico"":3.45,""cananea"":2.59,""mayoreo_menos"":3.45,""mayoreo_mas"":3.45}"
1910,"LLANTA NEUMATICA 10"" CON EJE LATERAL",2,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
1924,CARBON UNIVERSAL,48,ACCESORIOS,ACCESORIOS.xlsx,38.79,38.79,34.48,21.55,30.17,25.86,"{""regular"":38.79,""tecnico"":34.48,""cananea"":21.55,""mayoreo_menos"":30.17,""mayoreo_mas"":25.86}"
1925,CARBONES PAR COMP 1ERA CALIDAD,49,ACCESORIOS,ACCESORIOS.xlsx,38.79,38.79,30.17,16.75,25.86,21.55,"{""regular"":38.79,""tecnico"":30.17,""cananea"":16.75,""mayoreo_menos"":25.86,""mayoreo_mas"":21.55}"
1935,CARBONES DE PULIDOR C/ZAPATA BOSCH,10,ACCESORIOS,ACCESORIOS.xlsx,56.03,56.03,47.41,26.71,43.1,38.79,"{""regular"":56.03,""tecnico"":47.41,""cananea"":26.71,""mayoreo_menos"":43.1,""mayoreo_mas"":38.79}"
1936,CARBONES DE PULIDOR O ESMERIL,6,ACCESORIOS,ACCESORIOS.xlsx,68.97,68.97,60.34,34.85,56.03,51.72,"{""regular"":68.97,""tecnico"":60.34,""cananea"":34.85,""mayoreo_menos"":56.03,""mayoreo_mas"":51.72}"
1938,JGO CARBONES MD. CUBE 1ERA CALIDAD,9,ACCESORIOS,ACCESORIOS.xlsx,43.1,43.1,34.48,17.2,30.17,25.86,"{""regular"":43.1,""tecnico"":34.48,""cananea"":17.2,""mayoreo_menos"":30.17,""mayoreo_mas"":25.86}"
1941,"FUSIBLE TERMICO 10A, 250V, 240C",43,ACCESORIOS,ACCESORIOS.xlsx,25.86,25.86,21.55,4.08,17.24,12.93,"{""regular"":25.86,""tecnico"":21.55,""cananea"":4.08,""mayoreo_menos"":17.24,""mayoreo_mas"":12.93}"
1942,FUSIBLE TERMICO 117C,43,ACCESORIOS,ACCESORIOS.xlsx,25.86,25.86,17.24,3.17,12.93,8.62,"{""regular"":25.86,""tecnico"":17.24,""cananea"":3.17,""mayoreo_menos"":12.93,""mayoreo_mas"":8.62}"
1960,VALVULA DE ENTRADA DE AGUA PARA LAVADORA SPEED QUEEN SUSTITUTO DE NO. PARTE: 33090167H,-30,ACCESORIOS,ACCESORIOS.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,"{""regular"":0.0,""tecnico"":0.0,""cananea"":0.0,""mayoreo_menos"":0.0,""mayoreo_mas"":0.0}"
