sku,nombre,regular_con_IVA,tecnico_con_IVA,cananea_con_IVA,mayoreo_menos_con_IVA,mayoreo_mas_con_IVA,regular_sin_IVA,tecnico_sin_IVA,cananea_sin_IVA,mayoreo_menos_sin_IVA,mayoreo_mas_sin_IVA,nombre_normalizado
211,MOTOR LAV DIR. WH ORG,50,30,,0,0,43.1,25.86,,0,0,MOTOR LAV DIR. WH ORG
848,"NIPLE UNION FLARE 1/2""",60,50,25.96,45,40,51.72,43.1,22.38,38.79,34.48,"NIPLE UNION FLARE 1/2"""
849,"NIPLE UNION FLARE 1/4""",25,20,6.9,20,15,21.55,17.24,5.95,17.24,12.93,"NIPLE UNION FLARE 1/4"""
850,"NIPLE UNION FLARE 3/4""",65,55,,0,0,56.03,47.41,,0,0,"NIPLE UNION FLARE 3/4"""
851,"NIPLE UNION FLARE 3/8""",50,35,15.38,30,25,43.1,30.17,13.26,25.86,21.55,"NIPLE UNION FLARE 3/8"""
853,"NIPLE UNION FLARE 5/16""",40,20,,0,0,34.48,17.24,,0,0,"NIPLE UNION FLARE 5/16"""
852,"NIPLE UNION FLARE 5/8""",90,70,36.07,65,55,77.59,60.34,31.09,56.03,47.41,"NIPLE UNION FLARE 5/8"""
2324,PEINE DE ALETADO DE ALAMBRE RECTO,140,120,67,110,100,120.69,103.45,57.76,94.83,86.21,PEINE DE ALETADO DE ALAMBRE RECTO
2205,PEINE DE ALETADO PLASTICO,170,130,71.88,115,100,146.55,112.07,61.97,99.14,86.21,PEINE DE ALETADO PLASTICO
PEINE001,PEINE PARA ENDEREZAR SERPENTINES,279.99,0,,0,0,241.37,0,,0,0,PEINE PARA ENDEREZAR SERPENTINES
900,PLASTILINA PARA RECUBRIR,30,30,,0,0,25.86,25.86,,0,0,PLASTILINA PARA RECUBRIR
06259817495880,PROTECTOR DE VOLTAJE MINISPLIT 220V-20A 35000BTU,380,320,195.59,300,280,327.59,275.86,168.61,258.62,241.38,PROTECTOR DE VOLTAJE MINISPLIT 220V-20A 35000BTU
7503026196731,PROTECTOR TERMICO P/MS 1.5T.,50,30,,0,0,43.1,25.86,,0,0,PROTECTOR TERMICO P/MS 1.5T.
7503026191040,PROTECTOR TERMICO P/MS 1T.,60,40,13.64,35,30,51.72,34.48,11.76,30.17,25.86,PROTECTOR TERMICO P/MS 1T.
7503026196748,PROTECTOR TERMICO P/MS 2T.,50,30,,0,0,43.1,25.86,,0,0,PROTECTOR TERMICO P/MS 2T.
7503026196823,RELAY 2 POLOS BOBINA 240V AC,240,175,,0,0,206.9,150.86,,0,0,RELAY 2 POLOS BOBINA 240V AC
932,RELAY P/TARJETA 12V 240V DC1550,130,110,16.09,100,85,112.07,94.83,13.87,86.21,73.28,RELAY P/TARJETA 12V 240V DC1550
192,RELAY P/TARJETA MS SFK-11DM,100,80,27.17,70,60,86.21,68.97,23.42,60.34,51.72,RELAY P/TARJETA MS SFK-11DM
7503026191569,RELAY PARA A/C 2 POLOS BOBINA 24VDC,250,200,,190,175,215.52,172.41,,163.79,150.86,RELAY PARA A/C 2 POLOS BOBINA 24VDC
7503026196847,RELAY PARA VENT. 6 TERM. 120V,220,190,115.71,180,170,189.66,163.79,99.75,155.17,146.55,RELAY PARA VENT. 6 TERM. 120V
7503026191576,RELAY PARA VENT. 6 TERM. BOBINA 24V,220,190,105.97,180,170,189.66,163.79,91.35,155.17,146.55,RELAY PARA VENT. 6 TERM. BOBINA 24V
7503026196830,RELAY PARA VENT. 6TERM. 240V,210,180,109.62,170,160,181.03,155.17,94.5,146.55,137.93,RELAY PARA VENT. 6TERM. 240V
7503026191583,RELAY POTEN. 35AMPS 480V BOBINA 332V AC,250,180,,0,0,215.52,155.17,,0,0,RELAY POTEN. 35AMPS 480V BOBINA 332V AC
7503026196816,RETARDADOR DE TIEMPO 240V DE 3S. A 10M.,150,0,,0,0,129.31,0,,0,0,RETARDADOR DE TIEMPO 240V DE 3S. A 10M.
57,RETARDADOR DE TIEMPO 2S-10M.,150,120,74.3,100,100,129.31,103.45,64.05,86.21,86.21,RETARDADOR DE TIEMPO 2S-10M.
7503036024147,SELLADOR DE FUGAS P/ SISTEMAS DE REFRIGERACION MASA,420,370,235.08,345,320,362.07,318.97,202.66,297.41,275.86,SELLADOR DE FUGAS P/ SISTEMAS DE REFRIGERACION MASA
8033158057932,"SELLADOR DE FUGAS ULTRA RAPIDO A/C, REFRI FIXQUICK",990,990,809.98,990,990,853.45,853.45,698.26,853.45,853.45,"SELLADOR DE FUGAS ULTRA RAPIDO A/C, REFRI FIXQUICK"
1061,SENSOR DE AMBIENTE MIRAGE MAGNUM 19 10K,160,115,,100,0,137.93,99.14,,86.21,0,SENSOR DE AMBIENTE MIRAGE MAGNUM 19 10K
7503026191767,SENSOR DE PLASTICO 5000OHMS,50,25,,0,0,43.1,21.55,,0,0,SENSOR DE PLASTICO 5000OHMS
7503026191774,SENSOR DE PLASTICO PARA MS 10000OHMS,50,25,,0,0,43.1,21.55,,0,0,SENSOR DE PLASTICO PARA MS 10000OHMS
1060,SENSOR DE POZO EVAP. MIRAGE MAGNUM19 12K,160,115,,0,0,137.93,99.14,,0,0,SENSOR DE POZO EVAP. MIRAGE MAGNUM19 12K
7503026191750,SENSOR DE POZO P/MS 10KOHMS,50,25,,0,0,43.1,21.55,,0,0,SENSOR DE POZO P/MS 10KOHMS
40,SENSOR METALICO DE POZO 5KOHMS,50,25,,0,0,43.1,21.55,,0,0,SENSOR METALICO DE POZO 5KOHMS
7503026414972,SENSOR METALICO PARA LG,60,30,,0,0,51.72,25.86,,0,0,SENSOR METALICO PARA LG
7503026414989,SENSOR METALICO UNIVERSAL 10KO,70,0,,0,0,60.34,0,,0,0,SENSOR METALICO UNIVERSAL 10KO
7503026414996,SENSOR METALICO UNIVERSAL 5KO,70,35,,0,0,60.34,30.17,,0,0,SENSOR METALICO UNIVERSAL 5KO
684032006454,SOLDADURA DYNAFLOW HARRIS SUST 15%,120,95,49.34,85,75,103.45,81.9,42.53,73.28,64.66,SOLDADURA DYNAFLOW HARRIS SUST 15%
824,SOPORTE DE ACERO PARA CONDENSADOR,530,470,322.78,435,400,456.9,405.17,278.26,375,344.83,SOPORTE DE ACERO PARA CONDENSADOR
7503028596393,SOPORTE DE ACERO PARA CONDENSADOR 200KG 2TON.,650,580,362.97,550,520,560.34,500,312.91,474.14,448.28,SOPORTE DE ACERO PARA CONDENSADOR 200KG 2TON.
912,SOPORTES COMPRESOR A/C,20,0,,0,0,17.24,0,,0,0,SOPORTES COMPRESOR A/C
213DA,TARJETA UNIV. PARA MINISPLIT APPLI PARTS APCB-213DA APCB-,800,800,,800,800,689.66,689.66,,689.66,689.66,TARJETA UNIV. PARA MINISPLIT APPLI PARTS APCB-213DA APCB-
037103574893,TARJETA UNIVERSAL INVERTER A/C CONTROL REMOTO 220V 12000 BTU GB,3000,2680,2060.8,2615,2500,2586.21,2310.34,1776.55,2254.31,2155.17,TARJETA UNIVERSAL INVERTER A/C CONTROL REMOTO 220V 12000 BTU GB
037103574923,TARJETA UNIVERSAL INVERTER A/C CONTROL REMOTO 220V 24000 BTU GB,3250,2830,2200.8,2750,2640,2801.72,2439.66,1897.24,2370.69,2275.86,TARJETA UNIVERSAL INVERTER A/C CONTROL REMOTO 220V 24000 BTU GB
191009,TARJETA UNIVERSAL P/MS,450,359.99,0,350,0,387.93,310.34,0,301.72,0,TARJETA UNIVERSAL P/MS
7503026196250,"TARJETA UNIVERSAL PARA MINISPLIT 2 SENSORES, DISPLAY Y CONTROL",800,695,,695,0,689.66,599.14,,599.14,0,"TARJETA UNIVERSAL PARA MINISPLIT 2 SENSORES, DISPLAY Y CONTROL"
7503026192184,TARJETA UNIVERSAL PARA MINISPLIT COLDTEK,500,420,350,395,395,431.03,362.07,301.72,340.52,340.52,TARJETA UNIVERSAL PARA MINISPLIT COLDTEK
7503026196267,TARJETA UNIVERSAL PARA MINISPLIT CON DISPLAY COLDTEK,500,420,0,395,350,431.03,362.07,0,340.52,301.72,TARJETA UNIVERSAL PARA MINISPLIT CON DISPLAY COLDTEK
7501206656525,TERMICO 2X30 AMPS SQ,220,190,,180,165,189.66,163.79,,155.17,142.24,TERMICO 2X30 AMPS SQ
833732000532,TERMOSTATO DE PARED BRAEBURN 200CN PROGRAMABLE 2 A 5 DIAS,1250,1090.01,,990,0,1077.59,939.66,,853.45,0,TERMOSTATO DE PARED BRAEBURN 200CN PROGRAMABLE 2 A 5 DIAS
6620132281944,TERMOSTATO DE PARED ROBERTSHAW 1000NC NO PROGRAMABLE,1100,1000,750,1000,950,948.28,862.07,646.55,862.07,818.97,TERMOSTATO DE PARED ROBERTSHAW 1000NC NO PROGRAMABLE
6620132282170,TERMOSTATO PARA A/C ROBERTSHAW PROGRAMABLE,1500,1300,869.66,1200,1100,1293.1,1120.69,749.71,1034.48,948.28,TERMOSTATO PARA A/C ROBERTSHAW PROGRAMABLE
6620132288424,TERMOSTATO PARA A/C ROBERTSHAW PROGRAMABLE RS9110,1650,1500,1013.38,1420,1340,1422.41,1293.1,873.6,1224.14,1155.17,TERMOSTATO PARA A/C ROBERTSHAW PROGRAMABLE RS9110
7503026196878,TERMOSTATO PARA AIRE DE VENTANA 3 PINES 14-16.8,150,130,,0,0,129.31,112.07,,0,0,TERMOSTATO PARA AIRE DE VENTANA 3 PINES 14-16.8
1993,TRANSFORMADOR DE 120/240/280V A 24V,420,375,252.13,350,320,362.07,323.28,217.35,301.72,275.86,TRANSFORMADOR DE 120/240/280V A 24V
112,TUERCA CONICA 1/4 AC,20,10,,0,0,17.24,8.62,,0,0,TUERCA CONICA 1/4 AC
251,TUERCA P/ REFRIGERACION REFORZADA 5/8,60,42,,0,0,51.72,36.21,,0,0,TUERCA P/ REFRIGERACION REFORZADA 5/8
252,TUERCA P/REFRIGERACION REF 3/8,40,35,9.4,30,25,34.48,30.17,8.1,25.86,21.55,TUERCA P/REFRIGERACION REF 3/8
253,TUERCA P/REFRIGERACION REF. 5/16,20,11.99,,0,0,17.24,10.34,,0,0,TUERCA P/REFRIGERACION REF. 5/16
290,TUERCA P/REFRIGERACION REFORZADA 1/2,40,30,,0,0,34.48,25.86,,0,0,TUERCA P/REFRIGERACION REFORZADA 1/2
320,TUERCA P/REFRIGERACION REFORZADA 1/4,14,11.99,,0,0,12.07,10.34,,0,0,TUERCA P/REFRIGERACION REFORZADA 1/4
250,TURECA P/REFRIGERACION REFORZADA 7/8,60,44,,0,0,51.72,37.93,,0,0,TURECA P/REFRIGERACION REFORZADA 7/8
2007,"UNICANAL DE 4""",0,,,,,0,,,,,"UNICANAL DE 4"""
037103576002,UNIMANIFOLD C/MIRILLA AZUL P/ 134/404/410 GB,400,320,188.8,295,270,344.83,275.86,162.76,254.31,232.76,UNIMANIFOLD C/MIRILLA AZUL P/ 134/404/410 GB
7503026414835,VALVULA DE CARGA/SERVICIO 3/16,25,25,8.63,20,10.39,21.55,21.55,7.44,17.24,8.96,VALVULA DE CARGA/SERVICIO 3/16
687472053910,VALVULA DE EXPANSION 7/8-1 1/8 R22,3800,0,,0,0,3275.86,0,,0,0,VALVULA DE EXPANSION 7/8-1 1/8 R22
966,"VALVULA DE LIQUIDO 3/8"" 2 VIAS",190,155,,0,0,163.79,133.62,,0,0,"VALVULA DE LIQUIDO 3/8"" 2 VIAS"
7503026414804,VALVULA DE SERV. 1/4,25,20,8.3,20,10.97,21.55,17.24,7.16,17.24,9.46,VALVULA DE SERV. 1/4
969,"VALVULA DE SERVICIO 1/2"" 3 VIAS",200,180,,170,155,172.41,155.17,,146.55,133.62,"VALVULA DE SERVICIO 1/2"" 3 VIAS"
967,"VALVULA DE SERVICIO 1/4"" DOS VIAS",120,95,0,80,52.38,103.45,81.9,0,68.97,45.16,"VALVULA DE SERVICIO 1/4"" DOS VIAS"
968,"VALVULA DE SERVICIO 3/8"" 3 VIAS",240,190,,0,0,206.9,163.79,,0,0,"VALVULA DE SERVICIO 3/8"" 3 VIAS"
970,"VALVULA DE SERVICIO 5/8"" 3 VIAS",245,200,,0,0,211.21,172.41,,0,0,"VALVULA DE SERVICIO 5/8"" 3 VIAS"
7503026414811,"VALVULA PINCHADORA 1 4, 5 16 Y 3 8",100,75.01,42.87,69.99,64.99,86.21,64.66,36.96,60.34,56.03,"VALVULA PINCHADORA 1 4, 5 16 Y 3 8"
7503033971680,"VALVULA PINCHADORA 1/2"", 5/8",150,130,74.54,120,110,129.31,112.07,64.26,103.45,94.83,"VALVULA PINCHADORA 1/2"", 5/8"
026715254217,VENTILADOR EXTRACTOR BROAN,980,980,,980,980,844.83,844.83,,844.83,844.83,VENTILADOR EXTRACTOR BROAN
2206,ADAPTADOR PARA PIGTAIL 1/4,35,25,10.2,20,15,30.17,21.55,8.79,17.24,12.93,ADAPTADOR PARA PIGTAIL 1/4
1178,BOILER DE PASO UNITED APPLIANCES,1624,0,,0,0,1400,0,,0,0,BOILER DE PASO UNITED APPLIANCES
7503001312811,BOILER ELECTRICO RHEEM 8KW 220V,5500,5500,,5500,5500,4741.38,4741.38,,4741.38,4741.38,BOILER ELECTRICO RHEEM 8KW 220V
781159669484,CALENTADOR DE AGUA UA 6L GAS LP,1350,1350,1300,1350,1300,1163.79,1163.79,1120.69,1163.79,1120.69,CALENTADOR DE AGUA UA 6L GAS LP
1185,DIAFRAGMA BOILER DE PASO 12-13L UNIV.,60,50,,0,0,51.72,43.1,,0,0,DIAFRAGMA BOILER DE PASO 12-13L UNIV.
1150,DIAFRAGMA BOILER DE PASO 5-6 LITROS,90,80.01,,60,55,77.59,68.97,,51.72,47.41,DIAFRAGMA BOILER DE PASO 5-6 LITROS
1151,DIAFRAGMA PARA BOILE DE PASO 8 LITROS,150,120,,110,0,129.31,103.45,,94.83,0,DIAFRAGMA PARA BOILE DE PASO 8 LITROS
2097,ELIMINADOR DE BATERIAS BOILER DE PASO,170,135,79.18,125,115,146.55,116.38,68.26,107.76,99.14,ELIMINADOR DE BATERIAS BOILER DE PASO
1155,MICROSWITCH BOILER DE PASO C.PALANCA 3 TERM. UNIV.,60,45,,35,30,51.72,38.79,,30.17,25.86,MICROSWITCH BOILER DE PASO C.PALANCA 3 TERM. UNIV.
1152,MICROSWITCH BOILER DE PASO MIRAGE ORG. 2 CABLES C.ARNES,230,200,,180,0,198.28,172.41,,155.17,0,MICROSWITCH BOILER DE PASO MIRAGE ORG. 2 CABLES C.ARNES
1154,MICROSWITCH BOILER DE PASO S.PALANCA 3TERM. VERDE,70,50,,40,35,60.34,43.1,,34.48,30.17,MICROSWITCH BOILER DE PASO S.PALANCA 3TERM. VERDE
1153,MICROSWITCH BOILER DE PASO UNIV. 3CABLES,80,60,,50,0,68.97,51.72,,43.1,0,MICROSWITCH BOILER DE PASO UNIV. 3CABLES
791279002436,PIG TAIL INVERTIDO DE COBRE 1/4 50CM,150,120,65.98,105,95,129.31,103.45,56.88,90.52,81.9,PIG TAIL INVERTIDO DE COBRE 1/4 50CM
662013641108,"PILOTO TIPO T, 3 VIAS, 6CH24-6, 1830-490 ROBERTSHAW",690,600,365.5,565,525,594.83,517.24,315.09,487.07,452.59,"PILOTO TIPO T, 3 VIAS, 6CH24-6, 1830-490 ROBERTSHAW"
1140,PORTA PILAS BOILER UNIV,120,80,0,49.7,25.76,103.45,68.97,0,42.84,22.21,PORTA PILAS BOILER UNIV
2216,REGULADOR DE GAS SENCILLO CON POOL R-3001-AS0,320,285,170.06,265,245,275.86,245.69,146.6,228.45,211.21,REGULADOR DE GAS SENCILLO CON POOL R-3001-AS0
2215,REGULADOR DE GAS SENCILLO R-5000,200,170,104.43,160,150,172.41,146.55,90.03,137.93,129.31,REGULADOR DE GAS SENCILLO R-5000
2026,RESISTENCIA BOILER 1500W RHEEM 1.03.03.207,1600,,,,,1379.31,,,,,RESISTENCIA BOILER 1500W RHEEM 1.03.03.207
20352477596,RESISTENCIA ELECTRICA PARA BOILER 110V RHEEM VARIAS MARCAS,480,0,,0,0,413.79,0,,0,0,RESISTENCIA ELECTRICA PARA BOILER 110V RHEEM VARIAS MARCAS
020352479613,RESISTENCIA ELECTRICA PARA BOILER 240V/4500W VARIAS MARCAS,480,480,303.05,480,480,413.79,413.79,261.25,413.79,413.79,RESISTENCIA ELECTRICA PARA BOILER 240V/4500W VARIAS MARCAS
1157,SENSOR DE FLUJO BOILER DE PASO MIRAGE ORG.,180,130,,120,0,155.17,112.07,,103.45,0,SENSOR DE FLUJO BOILER DE PASO MIRAGE ORG.
1156,SENSOR DE FLUJO BOILER DE PASO VARIOS,85,69.99,,60,50,73.28,60.34,,51.72,43.1,SENSOR DE FLUJO BOILER DE PASO VARIOS
1158,SENSOR DE FLUJO PLANO BOILER DE PASO ORG.,150,130,35.32,120,105,129.31,112.07,30.45,103.45,90.52,SENSOR DE FLUJO PLANO BOILER DE PASO ORG.
1645,"TERMISTOR SENSOR P/ BOILER GEN UNIV,",100,80.01,,69.99,60,86.21,68.97,,60.34,51.72,"TERMISTOR SENSOR P/ BOILER GEN UNIV,"
1594,"TERMOPAR 24"" TIPO EITAR 18817",150,125,,120,110,129.31,107.76,,103.45,94.83,"TERMOPAR 24"" TIPO EITAR 18817"
01,TERMOPILA 1951-01 C/ CONECTOR COAXIAL ROBERTSHAW 1951-,1040,1040,724.11,1040,1040,896.55,896.55,624.23,896.55,896.55,TERMOPILA 1951-01 C/ CONECTOR COAXIAL ROBERTSHAW 1951-
1598,TERMOSTATO BOILER IUSA ENCENDIDO ELECTRONICO ENTRADA 3/8 212936,820,710,,670,620,706.9,612.07,,577.59,534.48,TERMOSTATO BOILER IUSA ENCENDIDO ELECTRONICO ENTRADA 3/8 212936
1597,TERMOSTATO BOILER IUSA ENTRADA 1/2 495066,820,730,,680,630,706.9,629.31,,586.21,543.1,TERMOSTATO BOILER IUSA ENTRADA 1/2 495066
20352381800,TERMOSTATO ELECTRICO P CALENTADOR DE AGUA 6 PIJAS 90 A 150F,495,0,,0,0,426.72,0,,0,0,TERMOSTATO ELECTRICO P CALENTADOR DE AGUA 6 PIJAS 90 A 150F
020352484303,TERMOSTATO SUPERIOR ELECTRICO BOILER,560,,,,,482.76,,,,,TERMOSTATO SUPERIOR ELECTRICO BOILER
2207,TUERCA IZQUIERA 7/8 PARA PIG TAIL,50,35,30,35,30,43.1,30.17,25.86,30.17,25.86,TUERCA IZQUIERA 7/8 PARA PIG TAIL
662013630997,VALVULA MILIVOLT 24VAC 700-056 ROBERTSHAW,5900,5530,3850.1,5530,5530,5086.21,4767.24,3319.05,4767.24,4767.24,VALVULA MILIVOLT 24VAC 700-056 ROBERTSHAW
310,BOMBA PARA COOLER 220V CLEAN MACHINE,700,0,,0,0,603.45,0,,0,0,BOMBA PARA COOLER 220V CLEAN MACHINE
7503041587569,BOMBA SUMERGIBLE 25W,230,190,120,170,150,198.28,163.79,103.45,146.55,129.31,BOMBA SUMERGIBLE 25W
5461032,CARACOL 6500,1276,0,,0,0,1100,0,,0,0,CARACOL 6500
62540000203,COJIN DE FIBRA ASPEN 22X23,50,0,,0,0,43.1,0,,0,0,COJIN DE FIBRA ASPEN 22X23
311,ENFRIADOR PORTATIL R20 NIX,3400,0,,0,0,2931.03,0,,0,0,ENFRIADOR PORTATIL R20 NIX
1843,BUJIA CON ARNES 5PZS 295D1528G004,320,285,171.79,265,245,275.86,245.69,148.09,228.45,211.21,BUJIA CON ARNES 5PZS 295D1528G004
1847,BUJIA CON ARNES 6PZS 295D1528G002,320,285,171.79,265,245,275.86,245.69,148.09,228.45,211.21,BUJIA CON ARNES 6PZS 295D1528G002
1138,BUJIA CON ARNESSET 5 PIEZAS 295D1528G004,260,209.99,,209.99,0,224.14,181.03,,181.03,0,BUJIA CON ARNESSET 5 PIEZAS 295D1528G004
1845,BUJIA CON CABLE W10127479,162.4,110,61.59,100,90,140,94.83,53.09,86.21,77.59,BUJIA CON CABLE W10127479
1844,BUJIA S/MABE 80 CMS,100,70,24,60,55,86.21,60.34,20.69,51.72,47.41,BUJIA S/MABE 80 CMS
1846,BUJIA S/WH 80 CMS,70,60,24,55,24.63,60.34,51.72,20.69,47.41,21.23,BUJIA S/WH 80 CMS
1923,CLIP PARA BUJA WH ORG.,15,10,5.06,10,10,12.93,8.62,4.36,8.62,8.62,CLIP PARA BUJA WH ORG.
1967,ESPREA ESTUFA TEKA,60,45,16.46,40,35,51.72,38.79,14.19,34.48,30.17,ESPREA ESTUFA TEKA
2210,FILTRO CAMPANA MABE-IEM COMPLETO 26X36CM,210,180,115,165,150,181.03,155.17,99.14,142.24,129.31,FILTRO CAMPANA MABE-IEM COMPLETO 26X36CM
2209,FILTRO CAMPANA NEGRO CARBON ACTIVADO 36X80CM,120,95,52.25,85,75,103.45,81.9,45.04,73.28,64.66,FILTRO CAMPANA NEGRO CARBON ACTIVADO 36X80CM
2211,FILTRO CAMPANA UNIVERSAL BLANCO 36X80CM,120,100,47.52,85,70,103.45,86.21,40.97,73.28,60.34,FILTRO CAMPANA UNIVERSAL BLANCO 36X80CM
2212,FILTRO CAMPANA UNIVERSAL BLANCO Y NEGRO 30X50CM,150,125,64.93,110,95,129.31,107.76,55.97,94.83,81.9,FILTRO CAMPANA UNIVERSAL BLANCO Y NEGRO 30X50CM
4342528,IGNITOR HORNO 4342528,980,,,,,844.83,,,,,IGNITOR HORNO 4342528
1911,IGNITOR HORNO/ESTUFA LG ORG.,400,350,243.71,325,300,344.83,301.72,210.09,280.17,258.62,IGNITOR HORNO/ESTUFA LG ORG.
W10587906,MODULO 6 SALIDAS WH ORG W10587906,360,320,196.66,290,270,310.34,275.86,169.53,250,232.76,MODULO 6 SALIDAS WH ORG W10587906
2015,MODULO 7 SALIDAS ESTUFA,300,265,162.15,250,235,258.62,228.45,139.78,215.52,202.59,MODULO 7 SALIDAS ESTUFA
1562,MODULO ENCENDIDO 3 SAL,270,235,,220.01,200,232.76,202.59,,189.66,172.41,MODULO ENCENDIDO 3 SAL
1587,"PERILLA ESTUFA CASSETTE MABE GRAFITO 20"" (51 CM) 24"" (61 CM), WS01L14351",130,100,,90,80.01,112.07,86.21,,77.59,68.97,"PERILLA ESTUFA CASSETTE MABE GRAFITO 20"" (51 CM) 24"" (61 CM), WS01L14351"
2266,PERILLA ESTUFA MABE 295D1091P003 / WS01L14402,120,95,32.53,85,75,103.45,81.9,28.04,73.28,64.66,PERILLA ESTUFA MABE 295D1091P003 / WS01L14402
WS01L18698,PERILLA ESTUFA MABE 295D4284G003 / WS01L18698,350,290,175.23,270,250,301.72,250,151.06,232.76,215.52,PERILLA ESTUFA MABE 295D4284G003 / WS01L18698
1586,"PERILLA ESTUFA MABE FOCARIS, COLOR NEGRA, WS01L15226",99,85,,75.4,75.01,85.34,73.28,,65,64.66,"PERILLA ESTUFA MABE FOCARIS, COLOR NEGRA, WS01L15226"
1909,PERILLA ESTUFA TIPO PLACA MABE WS01L18850 259c1632g001,450,390,255.2,360,330,387.93,336.21,220,310.34,284.48,PERILLA ESTUFA TIPO PLACA MABE WS01L18850 259C1632G001
W10277026,PERILLA ESTUFA WH W10277026,450,,,,,387.93,,,,,PERILLA ESTUFA WH W10277026
WS01L16508,PERILLA PARILLA MABE WS01L16508,380,335,202.64,315,290,327.59,288.79,174.69,271.55,250,PERILLA PARILLA MABE WS01L16508
1954,PERILLA RECTANGULAR CROM S/MCA 12541009,135,120,66.87,105,95,116.38,103.45,57.65,90.52,81.9,PERILLA RECTANGULAR CROM S/MCA 12541009
2051,QUEMADOR ESTUFA MABE 222D8773P001 ORG.,190,145,87.17,135,125,163.79,125,75.15,116.38,107.76,QUEMADOR ESTUFA MABE 222D8773P001 ORG.
2229,TAPA QUEMADOR ESTUFA MABE 223C3327G004,70,55,31.12,50,45,60.34,47.41,26.83,43.1,38.79,TAPA QUEMADOR ESTUFA MABE 223C3327G004
2050,TAPA QUEMADOR MABE 223C7303P001 ORG.,120,85,45.48,75,65,103.45,73.28,39.21,64.66,56.03,TAPA QUEMADOR MABE 223C7303P001 ORG.
1590,TERMOCONTROL DEL HORNO 5 POSICIONESPARA ESTUFA,110,90,,75.01,64.99,94.83,77.59,,64.66,56.03,TERMOCONTROL DEL HORNO 5 POSICIONESPARA ESTUFA
1563,"VALVULA CONTROL DE GAS AMARILLA  3/8"" X 1/2""",160,0,,0,0,137.93,0,,0,0,"VALVULA CONTROL DE GAS AMARILLA 3/8"" X 1/2"""
W10777489,VALVULA ESTUFA WHIRLPOOL SHUT-OFF DE CIERRE ORG. W10777489,620,620,,620,620,534.48,534.48,,534.48,534.48,VALVULA ESTUFA WHIRLPOOL SHUT-OFF DE CIERRE ORG. W10777489
1953,VALVULA MINI C/ROSCA QUEMADOR 223C4585P001,150,125,73.7,115,105,129.31,107.76,63.53,99.14,90.52,VALVULA MINI C/ROSCA QUEMADOR 223C4585P001
1719,"VALVULA PARA QUEMADOR 3 Y 4"" 223C5208P018",300,240,149.35,240,225,258.62,206.9,128.75,206.9,193.97,"VALVULA PARA QUEMADOR 3 Y 4"" 223C5208P018"
1589,V�LVULA QUEMADOR ESTUFA JUMBO MABE 6.5 CM WS01F03721,130,110,,95,85,112.07,94.83,,81.9,73.28,V�LVULA QUEMADOR ESTUFA JUMBO MABE 6.5 CM WS01F03721
1588,VALVULA QUEMADOR ESTUFA MABE ECLIPSE C/SOP V/LGO ORIGINAL,130,110,,95,85,112.07,94.83,,81.9,73.28,VALVULA QUEMADOR ESTUFA MABE ECLIPSE C/SOP V/LGO ORIGINAL
1591,V�LVULA QUEMADOR ESTUFA MABE WS01F03720 223C4585P001,170,140,,125,115,146.55,120.69,,107.76,99.14,V�LVULA QUEMADOR ESTUFA MABE WS01F03720 223C4585P001
7502218490114,AGENTE DE LIMPIEZA AQUION 800G,480,406,0,380,0,413.79,350,0,327.59,0,AGENTE DE LIMPIEZA AQUION 800G
2101,AGENTE DE LIMPIEZA FLUSH 800G ERKA,380,380,274.06,380,380,327.59,327.59,236.26,327.59,327.59,AGENTE DE LIMPIEZA FLUSH 800G ERKA
8033158102854,GAS LIMPIEZA BELNET 750ML,490,440,261.87,410,380,422.41,379.31,225.75,353.45,327.59,GAS LIMPIEZA BELNET 750ML
753153653905,GAS REFRIGERANTE 134 .340KG ERKA,160,140,85.27,125,110,137.93,120.69,73.51,107.76,94.83,GAS REFRIGERANTE 134 .340KG ERKA
793969075782,GAS REFRIGERANTE 134 340G CON SELLADOR DE FUGAS ERKA,350,300,185.14,285,260,301.72,258.62,159.6,245.69,224.14,GAS REFRIGERANTE 134 340G CON SELLADOR DE FUGAS ERKA
D10130577,GAS REFRIGERANTE 134 BOYA 13.6KG,2800,2650,2300,2550,2400,2413.79,2284.48,1982.76,2198.28,2068.97,GAS REFRIGERANTE 134 BOYA 13.6KG
2079,GAS REFRIGERANTE 134 ERKA,350,280,207.07,255,240,301.72,241.38,178.51,219.83,206.9,GAS REFRIGERANTE 134 ERKA
293,GAS REFRIGERANTE 134A 1 KG,220,200,150.49,170,170,189.66,172.41,129.73,146.55,146.55,GAS REFRIGERANTE 134A 1 KG
1351,GAS REFRIGERANTE 290,210,200,125.28,180,170,181.03,172.41,108,155.17,146.55,GAS REFRIGERANTE 290
2213,GAS REFRIGERANTE 290 BOYA 5KG,2500,1950,1508,1915,1885,2155.17,1681.03,1300,1650.86,1625,GAS REFRIGERANTE 290 BOYA 5KG
7502218490985,GAS REFRIGERANTE 32 3KG,950,870,,840,800,818.97,750,,724.14,689.66,GAS REFRIGERANTE 32 3KG
7502218490404,GAS REFRIGERANTE 404A ERKA,350,250,110.2,230,200,301.72,215.52,95,198.28,172.41,GAS REFRIGERANTE 404A ERKA
